Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
IRIS_10X10_CV,,1,0,DT,0.9333333333333333,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8972602739726028,,0.0010018348693847656,0.0
IRIS_10X10_CV,,2,0,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.00099945068359375,0.0
IRIS_10X10_CV,,3,0,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,4,0,DT,0.9333333333333333,0.9629629629629629,0.9333333333333332,0.9629629629629629,0.9433551198257081,0.8837209302325582,,0.0,0.0
IRIS_10X10_CV,,5,0,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,6,0,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,7,0,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0002315044403076172,0.0
IRIS_10X10_CV,,8,0,DT,0.8,0.8214285714285715,0.8111111111111112,0.8214285714285715,0.8119658119658119,0.6938775510204083,,0.0,0.0
IRIS_10X10_CV,,9,0,DT,0.8666666666666667,0.875,0.875,0.875,0.875,0.7794117647058824,,0.0,0.0
IRIS_10X10_CV,,10,0,DT,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9,,0.0,0.0
IRIS_10X10_CV,,1,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.015725374221801758,0.0
IRIS_10X10_CV,,2,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,3,1,DT,0.9333333333333333,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.8958333333333334,,0.0,0.0
IRIS_10X10_CV,,4,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,5,1,DT,0.9333333333333333,0.9523809523809524,0.9166666666666666,0.9523809523809524,0.9267399267399267,0.8972602739726028,,0.0,0.0
IRIS_10X10_CV,,6,1,DT,0.8666666666666667,0.9047619047619048,0.9166666666666666,0.9047619047619048,0.8968253968253967,0.7826086956521738,,0.0,0.0
IRIS_10X10_CV,,7,1,DT,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9047619047619048,0.8905109489051095,,0.0,0.0
IRIS_10X10_CV,,8,1,DT,0.9333333333333333,0.8888888888888888,0.9523809523809524,0.8888888888888888,0.9076923076923077,0.8936170212765957,,0.0,0.0
IRIS_10X10_CV,,9,1,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,10,1,DT,0.8666666666666667,0.9047619047619048,0.9166666666666666,0.9047619047619048,0.8968253968253969,0.7826086956521738,,0.0,0.0
IRIS_10X10_CV,,1,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,2,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,3,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,4,2,DT,0.9333333333333333,0.9333333333333332,0.9523809523809524,0.9333333333333332,0.9373219373219372,0.8979591836734694,,0.0,0.0
IRIS_10X10_CV,,5,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,6,2,DT,0.8666666666666667,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.85,0.8,,0.0,0.0
IRIS_10X10_CV,,7,2,DT,0.8666666666666667,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7972972972972974,,0.0009989738464355469,0.0
IRIS_10X10_CV,,8,2,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,9,2,DT,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666668,0.8,,0.0,0.0
IRIS_10X10_CV,,10,2,DT,0.9333333333333333,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9487179487179486,0.8905109489051095,,0.0010004043579101562,0.0
IRIS_10X10_CV,,1,3,DT,0.8666666666666667,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.85,0.8,,0.0010027885437011719,0.0
IRIS_10X10_CV,,2,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,3,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,4,3,DT,0.9333333333333333,0.9583333333333334,0.9444444444444445,0.9583333333333334,0.9474747474747475,0.8888888888888888,,0.0,0.0
IRIS_10X10_CV,,5,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,6,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,7,3,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,8,3,DT,0.9333333333333333,0.9523809523809524,0.9444444444444445,0.9523809523809524,0.9440559440559441,0.8958333333333334,,0.0,0.0
IRIS_10X10_CV,,9,3,DT,0.9333333333333333,0.8333333333333334,0.9333333333333332,0.8333333333333334,0.8518518518518517,0.8770491803278688,,0.0,0.0
IRIS_10X10_CV,,10,3,DT,0.9333333333333333,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8913043478260869,,0.0,0.0
IRIS_10X10_CV,,1,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,2,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,3,4,DT,0.9333333333333333,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8979591836734694,,0.0,0.0
IRIS_10X10_CV,,4,4,DT,0.9333333333333333,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8979591836734694,,0.0,0.0
IRIS_10X10_CV,,5,4,DT,0.8666666666666667,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.7887323943661972,,0.0,0.0
IRIS_10X10_CV,,6,4,DT,0.9333333333333333,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9,,0.0,0.0
IRIS_10X10_CV,,7,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,8,4,DT,0.8666666666666667,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666667,0.7727272727272727,,0.0,0.0
IRIS_10X10_CV,,9,4,DT,0.9333333333333333,0.9444444444444445,0.9523809523809524,0.9444444444444445,0.9440559440559441,0.8958333333333334,,0.0,0.0
IRIS_10X10_CV,,10,4,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,1,5,DT,0.9333333333333333,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8854961832061069,,0.0,0.0
IRIS_10X10_CV,,2,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0008902549743652344,0.0
IRIS_10X10_CV,,3,5,DT,0.9333333333333333,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8936170212765957,,0.0,0.0
IRIS_10X10_CV,,4,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,5,5,DT,0.9333333333333333,0.9583333333333334,0.8888888888888888,0.9583333333333334,0.9111111111111111,0.8913043478260869,,0.0011096000671386719,0.0
IRIS_10X10_CV,,6,5,DT,0.9333333333333333,0.9523809523809524,0.9444444444444445,0.9523809523809524,0.9440559440559441,0.8958333333333334,,0.0,0.0
IRIS_10X10_CV,,7,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,8,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,9,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,10,5,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,1,6,DT,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,,0.0009992122650146484,0.0
IRIS_10X10_CV,,2,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,3,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.000997304916381836,0.0
IRIS_10X10_CV,,4,6,DT,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0
IRIS_10X10_CV,,5,6,DT,0.8666666666666667,0.8777777777777779,0.8777777777777779,0.8777777777777779,0.8777777777777779,0.7972972972972974,,0.0009827613830566406,0.0
